text,pronoun,entity_candidate,event_candidate,event_prob,entity_prob,category
But you can not repeat mistakes because the world is not built on repetition ; it ’s built on mutation .,it,world,you can not repeat mistakes because the world is not built on repetition,0.0,1.0,Entity
"The brain is endlessly perceiving , processing , planning , organizing , and remembering — it is always active .",it,brain,"The brain is endlessly perceiving , processing , planning , organizing , and remembering",0.1,0.9,Entity Leaning
The baker made a delicious cake. It tempted everyone in the office.,It,cake,The baker made a delicious cake,0.0,1.0,Entity
The teacher explained the complex concept. It confused some of the students.,It,complex concept,teacher explained the complex concept,0.3,0.7,Entity Leaning
"Visitors will not be allowed in the other shuttles and this trainer is a true win for our dynamic museum . It will help inspire young people to the adventure of space and to the excitement of a career in science , technology , engineering and math . """,It,trainer,Visitors will not be allowed in the other shuttles and this trainer is a true win for our dynamic museum,0.0,1.0,Entity
The clock chimed midnight. It signaled the end of the year.,It,clock,The clock chimed midnight.,0.5,0.5,Ambiguous
But the Secretary 's interpretation of this text is not just a plausible reading ; it 's the best reading .,it,Secretary 's interpretation,Secretary 's interpretation of this text is not just a plausible reading,0.0,1.0,Entity
The storm raged fiercely. It caused a power outage in the city.,It,storm,The storm raged fiercely,0.5,0.5,Ambiguous
"This couch is also quite big , it fits three people quite comfortably , and if I have family or friends staying over , it opens up into a full double bed .",it,couch,"This couch is also quite big , it fits three people quite comfortably",0.0,1.0,Entity
"A partnership with others , it symbolizes the relentless spirit of American ingenuity .  And it shows what we can achieve , what more we can discover , not just about distant places , but about our very own planet and climate , like NASA ’s Earth System Observatory that we launched last year .",it,partnership with others,"A partnership with others , it symbolizes the relentless spirit of American ingenuity",0.2,0.8,Entity Leaning
"A third , turning to face the new threat , took a blow to the face that audibly crunched the bones of his cheek . I remember wondering why I did n't take any satisfaction from that sound , why it meant nothing beyond the fact I had one less opponent to worry about .",it,sound,took a blow to the face that audibly crunched the bones of his cheek . I remember wondering why I did n't take any satisfaction from that sound,0.7,0.3,Event Leaning
The tsunami hit the shore with huge waves. It caused widespread destruction and loss of life.,It,tsunami,The tsunami hit the shore with huge waves,0.5,0.5,Ambiguous
He proposed to her in a romantic setting. It brought tears to her eyes.,It,romantic setting.,He proposed to her in a romantic setting.,1.0,0.0,Event
Tourists can choose to purchase camping tour packages which include a driver or guide that will show tourists around the beaches as well as provide meals during their stay .  It is a fantastic way to enjoy the beauty and wildlife of the island .,It,camping tour packages,Tourists can choose to purchase camping tour packages which include a driver or guide that will show tourists around the beaches as well as provide meals during their stay,0.8,0.2,Event Leaning
"If the task we are trying to complete is a difficult one , it can take a lot of work .",it,task,If the task we are trying to complete is a difficult one,0.5,0.5,Ambiguous
"Yep , we like to just make our own original content , and , yep , that 's what we wanted to do .",that,content,we like to just make our own original content,0.8,0.2,Event Leaning
"When something is unprecedented , it means it does n’t have a past , does n’t have a history . It ’s totally oriented on the future .",It,something,"When something is unprecedented , it means it does n’t have a past , does n’t have a history",0.9,0.1,Event Leaning
"Know the body is lazy , because it wants to save precious energy .",it,body,Know the body is lazy,0.0,1.0,Entity
"Summers can be very warm and with the cold wind across the plains it can get very cold in the winter , but it does not last long .",it,winter,with the cold wind across the plains it can get very cold in the winter,0.0,1.0,Entity
"We suffer from the longest and one of the worst sustained inflations in our national history .  It distorts our economic decisions , penalizes thrift , and crushes the struggling young and the fixed - income elderly alike .  It threatens to shatter the lives of millions of our people .",It,inflations,We suffer from the longest and one of the worst sustained inflations in our national history,0.5,0.5,Ambiguous
The volcano is considered dormant. It could erupt at any moment.,It,volcano,The volcano is considered dormant,0.2,0.8,Entity Leaning
The sun rose over the mountains. It warmed the valley.,It,sun,The sun rose over the mountains,0.5,0.5,Ambiguous
Lighting plays a large part on the consumption of household electrical energy ; it consumes about 18 % of the total generated electricity of total energy consumption in residential sectors as shown in figure 2 [ 2 ] .,it,Lighting,Lighting plays a large part on the consumption of household electrical energy,0.0,1.0,Entity
"Sure some stronger impulse vibrates here , Which whispers friendship will be doubly dear To one , who thus for kindred hearts must roam , And seek abroad , the love denied at home",Which,stronger impulse,some stronger impulse vibrates here,0.3,0.7,Entity Leaning
"Taking off one 's shoes at temples and private homes is mandatory etiquette , and this may even be requested at some shops .",this,etiquette,Taking off one 's shoes at temples and private homes is mandatory etiquette,0.7,0.3,Event Leaning
The fire was extinguished quickly. It did not cause any serious damage.,It,fire,The fire was extinguished quickly,0.4,0.6,Ambiguous
"While this fits with the messages we receive from popular culture , which tell us that sex is a young person 's domain , it is somewhat at odds with the fact that older adults continue to explore and enjoy sexuality well into old age .",it,messages,"While this fits with the messages we receive from popular culture , which tell us that sex is a young person 's domain",0.5,0.5,Ambiguous
The river overflowed its banks. It caused extensive damage.,It,river,The river overflowed its banks,0.6,0.4,Ambiguous
"Mandatory mass evacuations have been carried out , which is essential to minimize loss of life in these situations .",which,mass evacuations,Mandatory mass evacuations have been carried out,0.5,0.5,Ambiguous
The earthquake struck at dawn. It caused widespread panic.,It,earthquake,The earthquake struck at dawn,0.4,0.6,Ambiguous
The car crashed violently. It caused a huge explosion.,It,car,The car crashed violently,0.7,0.3,Event Leaning
"We could n't be in your committee room because of COVID , but they came and they asked me that day , they said , ‘ Madam Speaker , will you name this bill for our brother ? ’ Philonise , his brother , asked that question .  I said , ‘ Only if you think it is worthy of your brother . ’",it,bill,will you name this bill for our brother,0.2,0.8,Entity Leaning
"After his expulsion became official in January 1831 , he attempted to start a private class in advanced algebra which attracted some interest , but this waned , as it seemed that his political activism had priority . [ 4 ] [ 7 ]",this,private class,he attempted to start a private class in advanced algebra which attracted some interest,0.9,0.1,Event Leaning
"Okay next to my bed , I 've got the radio alarm clock , and this has actually changed my life .  It makes waking up in the morning and getting out of bed at 6:00 a.m. when it 's pitch black outside so much easier when you 're waking up really early .",It,radio alarm clock,"Okay next to my bed , I 've got the radio alarm clock , and this has actually changed my life",0.4,0.6,Ambiguous
The thunder roared loudly. It was so loud that it woke up everyone in the city.,It,thunder,The thunder roared loudly,0.1,0.9,Entity Leaning
He fixed the leaky faucet carefully. It saved a lot of water.,It,faucet,He fixed the leaky faucet carefully,1.0,0.0,Event
